,0
0,California
1,Georgia
2,Indiana
3,Iowa
4,Kansas
5,Kentucky
6,Louisiana
7,Maryland
8,Minnesota
9,Mississippi
10,Missouri
11,Montana
12,Nebraska
13,Nevada
14,New Hampshire
15,New Jersey
16,New Mexico
17,New York
18,North Carolina
19,North Dakota
20,Ohio
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Texas
29,Utah
30,Vermont
31,Virginia
32,Washington
33,West Virginia
34,Wisconsin
35,Wyoming
